Index,CrashID,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Injury_Status,Cause
139,902970580,M,35-44Years,97,7/26/2017,WEDNESDAY,JUL,12:04,AM,0,1,39.876144,-86.035488,1,35,Fatal,OVERCORRECTING/OVERSTEERING
140,902970581,M,55-64Years,97,7/27/2017,THURSDAY,JUL,1:41,PM,0,1,39.84023,-86.113105,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
141,902976985,M,35-44Years,97,8/9/2017,WEDNESDAY,AUG,11:39,PM,0,1,39.853344,-86.199184,1,40,Fatal,RANOFFROAD
142,902934692,F,55-64Years,97,5/30/2017,TUESDAY,MAY,10:00,AM,0,1,39.807968,-86.187488,2,30,Fatal,DISREGARDSIGNAL/REGSIGN
143,902969093,M,25-34Years,97,7/27/2017,THURSDAY,JUL,6:33,AM,0,1,39.86864,-86.074288,2,30,Fatal,DISREGARDSIGNAL/REGSIGN
144,902903856,M,15-24Years,97,4/7/2017,FRIDAY,APR,8:06,PM,0,1,39.80122224,-86.30862129,1,20,Fatal,OVERCORRECTING/OVERSTEERING
145,903009841,M,25-34Years,97,10/1/2017,SUNDAY,OCT,2:43,AM,1,1,39.72324,-86.11592,1,35,Fatal,RANOFFROAD
146,902958926,M,35-44Years,97,7/8/2017,SATURDAY,JUL,11:33,PM,1,1,39.816565,-86.25601,1,40,Fatal,LEFTOFCENTER
147,902938836,M,65-74Years,97,6/7/2017,WEDNESDAY,JUN,6:33,AM,1,1,39.787408,-86.234784,1,35,Fatal,LEFTOFCENTER
148,902853983,F,35-44Years,57,1/8/2017,SUNDAY,JAN,2:48,AM,1,1,39.926704,-86.094272,1,35,Fatal,FAILURETOYIELDRIGHTOFWAY
149,902989553,M,45-54Years,57,9/1/2017,FRIDAY,SEP,3:17,PM,0,1,40.15915813,-85.939536,2,55,Fatal,LEFTOFCENTER
150,903057935,M,35-44Years,97,12/10/2017,SUNDAY,DEC,6:55,PM,0,1,39.86766221,-86.18835637,1,30,Fatal,RANOFFROAD
151,902907990,M,25-34Years,57,4/18/2017,TUESDAY,APR,3:00,PM,0,1,40.13338364,-85.8839349,1,50,Fatal,UNSAFESPEED
152,903009123,F,15-24Years,57,10/4/2017,WEDNESDAY,OCT,6:50,AM,1,1,40.12728743,-85.91172404,2,55,Fatal,LEFTOFCENTER
153,902973297,F,55-64Years,97,7/31/2017,MONDAY,JUL,4:55,PM,0,1,39.72092,-86.23372,1,25,Fatal,RANOFFROAD
154,902995599,M,15-24Years,97,9/9/2017,SATURDAY,SEP,9:05,PM,0,1,39.83067,-86.26542,1,30,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
155,902888947,M,25-34Years,97,3/9/2017,THURSDAY,MAR,5:10,PM,1,1,39.833472,-86.211712,2,40,Fatal,LEFTOFCENTER
156,902884279,M,15-24Years,97,3/3/2017,FRIDAY,MAR,11:46,PM,0,1,39.66044132,-86.29961049,1,30,Fatal,RANOFFROAD
157,902873498,M,45-54Years,97,2/11/2017,SATURDAY,FEB,5:08,PM,0,1,39.77993635,-86.04042477,1,30,Fatal,RANOFFROAD
158,903019661,M,35-44Years,97,9/30/2017,SATURDAY,SEP,4:50,PM,0,1,39.8006,-86.12908,1,10,Fatal,"OTHER(DRIVER),EXPLAININNARRATIVE"
159,902939871,M,45-54Years,97,6/1/2017,THURSDAY,JUN,9:36,PM,0,1,39.84366,-86.24165,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
160,902867275,M,55-64Years,97,1/22/2017,SUNDAY,JAN,3:11,PM,0,1,39.862256,-86.163888,1,35,Fatal,OVERCORRECTING/OVERSTEERING
161,903099553,F,45-54Years,97,12/31/2017,SUNDAY,DEC,8:23,PM,0,1,39.66088554,-86.08554623,2,20,Fatal,RANOFFROAD
162,902948326,M,>=85Years,97,6/21/2017,WEDNESDAY,JUN,12:34,PM,1,1,39.78184,-86.016176,2,30,Fatal,FAILURETOYIELDRIGHTOFWAY
163,902788598,F,45-54Years,97,2016.09.30,FRIDAY,SEP,11:49,PM,3,2,39.802144,-86.121584,2,35,Fatal,IMPROPERLANEUSAGE
164,902659937,M,45-54Years,97,2016.02.23,TUESDAY,FEB,7:01,PM,1,1,39.89038981,-86.15781001,2,45,Fatal,FAILURETOYIELDRIGHTOFWAY
165,902787307,M,35-44Years,97,2016.09.25,SUNDAY,SEP,2:15,AM,2,1,39.764464,-86.266912,1,40,Fatal,FAILURETOYIELDRIGHTOFWAY
166,902685845,F,15-24Years,97,2016.03.26,SATURDAY,MAR,3:44,AM,3,2,39.828448,-86.043168,1,45,Fatal,DISREGARDSIGNAL/REGSIGN
167,902674617,M,25-34Years,97,2016.03.22,TUESDAY,MAR,10:13,PM,1,1,39.749734,-86.240259,2,35,Fatal,DISREGARDSIGNAL/REGSIGN
168,902687104,F,45-54Years,57,2016.04.15,FRIDAY,APR,8:53,AM,2,1,40.085456,-86.222384,1,50,Fatal,FAILURETOYIELDRIGHTOFWAY
169,902692742,M,>=85Years,97,2016.04.23,SATURDAY,APR,8:40,AM,1,1,39.896944,-86.215584,2,45,Fatal,DRIVERILLNESS
