Index,CrashID,Role,Gender,Age,County,Date,Day,Month,Time,PM_AM,Injured,Deaths,Latitude,Longitude,Weather,Speed_Limit,Road_Type,Road_Name,Injury_Status,Cause
41,903180826,Injured,M,35-44Years,97,6/29/2018,FRIDAY,JUN,10:59,PM,2,1,39.797536,-86.18752,1,30,Multi-LaneUndivided(TwoWay),22NDSTHARDINGST,Fatal,RANOFFROAD
42,903260561,Driver,M,65-74Years,97,11/1/2018,THURSDAY,NOV,1:45,PM,1,1,39.64944,-86.167792,2,25,TwoLanes(TwoWay),RAHKERDSTOP11RD,Fatal,DISREGARDSIGNAL/REGSIGN
43,903231859,Driver,M,45-54Years,97,9/22/2018,SATURDAY,SEP,6:13,AM,0,1,39.635344,-86.126688,1,45,Multi-LaneDivided3ormore(TwoWay),COUNTYLINERDUS31S,Fatal,FAILURETOYIELDRIGHTOFWAY
44,903202997,Driver,M,55-64Years,97,8/10/2018,FRIDAY,AUG,4:05,PM,0,1,39.90456068,-86.04605278,1,55,nan,I69S200.8,Fatal,DRIVERILLNESS
45,903115565,Driver,F,>=85Years,97,3/8/2018,THURSDAY,MAR,10:03,AM,0,1,39.695248,-86.04448,1,35,TwoLanes(TwoWay),FIVEPOINTSRDTHOMPSONRD,Fatal,DRIVERILLNESS
46,903115565,Driver,F,>=85Years,97,3/8/2018,THURSDAY,MAR,10:03,AM,0,1,39.695248,-86.04448,1,35,TwoLanes(TwoWay),FIVEPOINTSRDTHOMPSONRD,Fatal,DRIVERILLNESS
47,903182742,Driver,M,45-54Years,97,7/6/2018,FRIDAY,JUL,6:04,AM,0,1,39.75373352,-86.16054991,1,40,OneLane(OneWay),I70E,Fatal,RANOFFROAD
48,903226709,Driver,M,25-34Years,97,5/28/2018,MONDAY,MAY,8:48,AM,0,1,39.77167186,-86.04950236,1,40,Multi-LaneDivided3ormore(TwoWay),EDMONDSONAVEWASHINGTONST,Fatal,UNSAFESPEED
49,903246626,Driver,M,25-34Years,97,10/24/2018,WEDNESDAY,OCT,1:37,PM,1,1,39.74995432,-86.23226485,1,50,nan,I70E76.1,Fatal,UNSAFELANEMOVEMENT
50,903146310,Driver,M,65-74Years,97,5/4/2018,FRIDAY,MAY,9:45,AM,0,1,39.700225,-86.25870979,1,30,nan,I465E8.3,Fatal,UNSAFESPEED
51,903076499,Driver,F,15-24Years,57,1/4/2018,THURSDAY,JAN,5:40,AM,0,1,39.93028752,-86.1495996,2,55,nan,I465E31.1,Fatal,WRONGWAYONONEWAY
52,903153959,Driver,M,65-74Years,97,5/11/2018,FRIDAY,MAY,4:05,PM,0,1,39.70006366,-86.17047085,1,55,nan,I465E3.4,Fatal,FOLLOWINGTOOCLOSELY
53,903264221,Driver,M,45-54Years,97,11/19/2018,MONDAY,NOV,11:27,PM,0,1,39.80415707,-86.27517857,1,55,nan,I465S15.7,Fatal,FOLLOWINGTOOCLOSELY
54,903202569,Driver,F,25-34Years,97,7/27/2018,FRIDAY,JUL,5:27,PM,2,1,39.781456,-86.0832,1,35,Multi-LaneUndivided(TwoWay),10THSTEMERSONAVE,Fatal,IMPROPERPASSING
55,903264480,Driver,M,65-74Years,97,11/3/2018,SATURDAY,NOV,2:02,AM,0,1,39.80752606,-86.27894409,1,45,TwoLanes(OneWay),I74E,Fatal,UNSAFELANEMOVEMENT
