Index,CrashID,Gender,Ages,County,Date,Day,Month,Time,PM/AM,Injured,Deaths,Latitude,Longitude,Weather,SpeedLimit,Cause,
45,903160957,M,['15-24Years' '55-64Years'],97,5/25/2018,FRIDAY,MAY,8:41,PM,1,1,39.832848,-86.08208,1,30,RANOFFROAD,
46,903173972,M,['1-4Years' '65-74Years'],97,6/22/2018,FRIDAY,JUN,7:31,PM,1,1,39.76844986,-86.30806509,2,35,RANOFFROAD,
47,903094402,F,['25-34Years' '25-34Years' '25-34Years' '35-44Years'],97,2/4/2018,SUNDAY,FEB,2:56,AM,2,2,39.84024,-86.03288,1,45,UNSAFESPEED,
48,903223708,F,['>=85Years' '55-64Years' '>=85Years'],97,9/14/2018,FRIDAY,SEP,11:49,AM,2,1,39.68132585,-86.26170115,1,35,RANOFFROAD,
49,903175664,F,['35-44Years' '35-44Years'],97,6/24/2018,SUNDAY,JUN,8:11,PM,1,1,39.812448,-86.219984,1,35,RANOFFROAD,
50,903260254,F,['75-84Years' '75-84Years'],57,11/12/2018,MONDAY,NOV,10:41,AM,0,2,39.94711179,-86.18408926,2,40,RANOFFROAD,
51,903194885,F,['25-34Years' '35-44Years'],57,8/2/2018,THURSDAY,AUG,2:39,AM,1,1,40.05669422,-85.88960077,1,50,RANOFFROAD,
52,903137052,M,['25-34Years' '25-34Years' '25-34Years' '5-14Years' '45-54Years' '35-44Years'],97,4/4/2018,WEDNESDAY,APR,7:14,PM,5,1,39.757855,-86.063755,1,35,UNSAFESPEED,
53,903108047,F,['45-54Years' '25-34Years'],57,2/25/2018,SUNDAY,FEB,8:44,PM,1,1,39.92688,-86.11922708,1,35,UNSAFESPEED,
54,903123266,M,['25-34Years' '65-74Years'],97,3/26/2018,MONDAY,MAR,10:47,AM,0,1,39.85008,-86.161584,2,30,FAILURETOYIELDRIGHTOFWAY,
55,903235421,M,['55-64Years' '35-44Years'],57,10/3/2018,WEDNESDAY,OCT,1:57,PM,0,1,40.00157653,-85.9363936,1,15,OTHER(DRIVER),EXPLAININNARRATIVE
56,903171144,F,['15-24Years' '25-34Years'],97,6/16/2018,SATURDAY,JUN,3:38,AM,1,1,39.858336,-86.174192,1,35,LEFTOFCENTER,
57,903180826,M,['35-44Years' '35-44Years' '35-44Years'],97,6/29/2018,FRIDAY,JUN,10:59,PM,2,1,39.797536,-86.18752,1,30,RANOFFROAD,
58,903260561,M,['65-74Years' '25-34Years'],97,11/1/2018,THURSDAY,NOV,1:45,PM,1,1,39.64944,-86.167792,2,25,DISREGARDSIGNAL/REGSIGN,
59,903251371,F,['15-24Years'],97,10/2/2018,TUESDAY,OCT,8:36,PM,0,1,39.844336,-86.010176,3,40,OTHER(DRIVER),EXPLAININNARRATIVE
